student_id,name,interests,completed_courses,failed_courses,gpa
0,Gabriela Maddox,['Security'],"{'CS102': 3.32, 'MATH101': 2.77, 'CS101': 3.7, 'SEC301': 2.83, 'DS301': 3.6, 'AI301': 4.0, 'AI401': 2.51, 'SEC401': 2.8}",set(),3.19
1,Rachel Vaughan,"['AI', 'Data Science']","{'CS101': 3.1, 'CS102': 2.75}",{'MATH101'},2.92
2,Joel Taylor,"['AI', 'Security']","{'CS102': 4.0, 'CS101': 4.0, 'MATH101': 3.07}",set(),3.69
3,Willie Gomez,['Security'],"{'CS102': 4.0, 'CS101': 3.93, 'MATH101': 2.46, 'AI301': 2.69, 'DS301': 3.55, 'AI401': 4.0, 'SEC301': 2.36, 'SEC401': 3.19}",set(),3.27
4,Christine Evans,"['Data Science', 'AI']","{'CS102': 2.36, 'MATH101': 3.14, 'CS101': 2.53, 'AI301': 4.0, 'DS301': 2.86, 'SEC301': 2.71, 'SEC401': 3.01, 'AI401': 3.21}",set(),2.98
5,Amber Moore,['AI'],"{'CS101': 2.83, 'MATH101': 2.75, 'CS102': 2.75, 'DS301': 2.45, 'AI301': 3.17, 'SEC301': 4.0}",set(),2.99
6,Luke Jackson,"['Security', 'AI']","{'MATH101': 2.6, 'CS101': 2.9, 'CS102': 3.16, 'SEC301': 2.78, 'DS301': 4.0, 'AI301': 3.47, 'SEC401': 2.5, 'AI401': 3.73}",set(),3.14
7,Zachary Gutierrez,['AI'],"{'CS102': 2.94, 'MATH101': 3.9, 'CS101': 3.41, 'SEC301': 3.9, 'DS301': 4.0, 'AI301': 3.07, 'SEC401': 2.33, 'AI401': 2.62}",set(),3.27
8,Andrew Quinn,['Data Science'],"{'CS101': 3.38, 'MATH101': 3.31}",{'CS102'},3.34
9,Savannah Schultz,['Data Science'],"{'CS101': 3.1, 'MATH101': 3.28, 'CS102': 3.04, 'DS301': 2.72, 'AI301': 3.57, 'SEC301': 3.33}",set(),3.17
10,Christopher Dean,"['Security', 'AI']","{'CS101': 3.1, 'MATH101': 2.97, 'AI301': 2.98, 'CS102': 3.0, 'DS301': 3.96, 'AI401': 3.76, 'SEC301': 3.21, 'SEC401': 2.46}",set(),3.18
11,Levi Hernandez,['AI'],"{'CS101': 2.29, 'MATH101': 2.32, 'CS102': 4.0, 'AI301': 2.28, 'SEC301': 3.67, 'DS301': 2.01, 'AI401': 3.02, 'SEC401': 2.45}",set(),2.76
12,Mr. William Taylor,"['AI', 'Data Science']","{'MATH101': 2.45, 'CS102': 3.11, 'CS101': 3.42}",set(),2.99
13,Margaret Porter,"['Security', 'AI']","{'CS101': 3.43, 'MATH101': 3.77, 'CS102': 2.37, 'SEC301': 3.17, 'DS301': 4.0, 'AI301': 2.52}",set(),3.21
14,Jennifer Ruiz,['Data Science'],"{'MATH101': 2.21, 'CS102': 3.5, 'CS101': 3.23, 'SEC301': 2.9, 'DS301': 3.43, 'AI301': 3.87, 'SEC401': 4.0, 'AI401': 2.97}",set(),3.26
15,William Griffin,"['AI', 'Security']","{'CS101': 2.56, 'MATH101': 3.13, 'CS102': 4.0, 'AI301': 4.0, 'DS301': 3.76, 'AI401': 3.59, 'SEC301': 3.06}",set(),3.44
16,John Cox,"['Data Science', 'AI']","{'MATH101': 3.47, 'CS101': 3.75, 'CS102': 2.74, 'DS301': 3.09, 'AI301': 4.0, 'SEC301': 4.0, 'SEC401': 3.06, 'AI401': 3.13}",set(),3.4
17,Taylor Reyes,['Data Science'],"{'MATH101': 3.14, 'CS101': 2.59, 'CS102': 2.3, 'SEC301': 3.1, 'AI301': 2.62, 'DS301': 3.81, 'AI401': 3.03, 'SEC401': 3.74}",set(),3.04
18,Jeffrey Cunningham,['AI'],"{'MATH101': 3.39, 'CS101': 2.28, 'CS102': 2.85}",set(),2.84
19,David Prince,"['AI', 'Security']","{'CS101': 2.48, 'CS102': 2.54}",{'MATH101'},2.51
20,Lynn Salazar,"['Data Science', 'Security']","{'CS102': 4.0, 'MATH101': 2.86, 'CS101': 2.46, 'AI301': 2.5, 'DS301': 3.34, 'AI401': 2.96, 'SEC301': 3.05}",{'SEC401'},3.02
21,Christina Johnson,['Security'],"{'MATH101': 2.8, 'CS101': 2.43, 'AI301': 2.81, 'SEC301': 2.58, 'CS102': 3.49, 'DS301': 3.4}",set(),2.92
22,Christopher Johnson,['Security'],"{'MATH101': 3.47, 'CS101': 2.89, 'CS102': 4.0, 'DS301': 2.82, 'AI301': 2.47, 'SEC301': 2.09, 'SEC401': 3.73, 'AI401': 2.75}",set(),3.03
23,Andrew Fisher,['Security'],"{'CS101': 3.05, 'MATH101': 3.98, 'CS102': 4.0, 'SEC301': 3.47, 'DS301': 2.92, 'AI301': 2.89, 'AI401': 3.25, 'SEC401': 3.31}",set(),3.36
24,Brandi Young,['AI'],"{'CS101': 2.67, 'MATH101': 3.26, 'CS102': 4.0, 'SEC301': 2.27, 'DS301': 2.63, 'AI301': 3.46, 'SEC401': 3.74, 'AI401': 3.45}",set(),3.18
25,Michael Watts,['AI'],"{'CS102': 3.48, 'CS101': 2.71, 'SEC301': 2.99, 'DS301': 3.92, 'MATH101': 2.52, 'AI301': 2.85, 'SEC401': 2.73, 'AI401': 2.98}",set(),3.02
26,Nicholas Cooper,"['Security', 'AI']","{'CS101': 2.72, 'CS102': 2.9, 'MATH101': 3.97, 'SEC301': 3.37, 'DS301': 2.35, 'AI301': 2.32, 'AI401': 3.43, 'SEC401': 2.55}",set(),2.95
27,Theresa Andrews,"['Data Science', 'AI']","{'CS102': 3.75, 'CS101': 2.89, 'MATH101': 3.52, 'SEC301': 2.42, 'DS301': 3.55, 'AI301': 3.83}",set(),3.33
28,Angel Aguilar,"['Security', 'AI']","{'CS102': 3.61, 'MATH101': 3.42, 'CS101': 2.38, 'AI301': 3.42, 'DS301': 3.17, 'AI401': 2.66, 'SEC301': 3.17, 'SEC401': 4.0}",set(),3.23
29,Taylor Scott,['Security'],"{'CS101': 2.95, 'CS102': 3.59, 'MATH101': 2.83, 'DS301': 2.32, 'SEC301': 2.4, 'AI301': 2.04, 'SEC401': 2.27}",set(),2.63
